FID_Wondo_,woreda_name,rk_name
"0",Wendo Genet,Chuko Town
"1",Wendo Genet,Kela Town
"2",Wendo Genet,Shasha Kakalo
"3",Wendo Genet,Gutu Anoma
"4",Wendo Genet,Wesha Soyama
"5",Wendo Genet,Wetera Kechema
"6",Wendo Genet,Intaye
"7",Wendo Genet,Abaye
"8",Wendo Genet,Gike Atoye
"9",Wendo Genet,Gike Gina
"10",Wendo Genet,Babo Chorara
"11",Wendo Genet,Wetera Genido
"12",Wendo Genet,Baje Gemeche
"13",Wendo Genet,Baje Fabirika
"14",Wendo Genet,Chuko
"15",Wendo Genet,Bula
"16",Wendo Genet,Edo
"17",Wendo Genet,Aruma
"18",Wendo Genet,Yuwo
"19",Wendo Genet,Swampy Area
"20",Wendo Genet,Forest
"21",Wendo Genet,"403"
"22",Wendo Genet,Melge Wondo Siga Fabrica
